exon_id,n_exp,slope_exp,pearson_exp,spearman_exp,n_mean,slope_mean,pearson_mean,spearman_mean,n_prod,slope_prod,pearson_prod,spearman_prod
ABCA4_e10,277,0.7901209968390275,0.8317764756753837,0.8042911964357454,277,0.5254658154780155,0.7721767092536235,0.7853832229715204,277,0.7797914258704358,0.7556429859228558,0.7834223345925353
ABCA4_e9,406,0.36899190502994644,0.6133633536788754,0.6516203891523314,406,0.06373135387593966,0.3220714881775014,0.2692243968033594,406,0.10858064485636212,0.3218472764569217,0.2687867662867995
ABCB11_e12,320,0.006108723678464765,0.03716297150799497,-0.007066847943019931,320,0.0810112476455077,0.4304531114667005,0.43656096378533304,320,0.11368665091049686,0.4373759885922333,0.4417535873945348
ABCB11_e4,143,0.7426965863736438,0.7058879724089773,0.792795232936078,143,1.1267736477175119,0.8857293277110786,0.8753570373288684,143,1.9862227639987362,0.8849983124120768,0.8754432187530778
ABCC2_e21,387,0.23753620976083073,0.3140698699084924,0.5726347485990096,387,0.23105834321057267,0.4017014451750672,0.6082524044209722,387,0.444467460619895,0.3966387822465108,0.6090022992710982
ABHD12_e5,31,0.5002446844274063,0.41381434211743656,0.2556451612903226,31,0.12722997345460854,0.4868069356020403,0.49758064516129036,31,0.19685691500000227,0.4942167394769033,0.5020161290322581
ABI2_e10,249,0.28120456258840626,0.2934222112148531,0.4290843373493976,249,0.31798224500484007,0.7439579088436369,0.7661224831652,249,0.4676932111564091,0.7343908299746716,0.763081192267356
ABLIM1_e20,12,2.2347243874829514,0.5344844196902461,0.07692307692307693,12,0.15574632938418304,0.18153902395726704,0.04195804195804196,12,0.3005338610620321,0.1830838139625546,0.04195804195804196
ABLIM3_e14,275,0.12160981323166523,0.289188152337319,0.34531721531404175,275,0.03567248940920343,0.17522209862550642,0.2739500121101572,275,0.0669640392315946,0.1728524142142686,0.2739794400016531
ACACA_e2,319,0.6984858816140345,0.8021396560596669,0.7983124593363695,319,0.7505576530387357,0.8609152254748043,0.8543336572878072,319,1.1948908952338297,0.8531656702404289,0.8536914079024216
ACADM_e3,282,0.223852654598152,0.5311018248924075,0.4375798979982563,282,0.07079363281915058,0.37219050500167505,0.4340183646506904,282,0.09611287553390749,0.3916875241102696,0.4689372536626022
ACTN2_e8,246,0.9707184513352879,0.8090940436249856,0.8214082824472798,246,0.4235542236543822,0.7441532063877275,0.7467801264311008,246,0.8188808118839042,0.7433607830921691,0.7465987563250457
ADAM32_e10,234,1.714407670302175,0.7702523571585933,0.8052578292852395,234,0.3986452534191781,0.76500252803035,0.7752345540923286,234,0.5116249190379766,0.759277119301844,0.77646615327471
ADAM32_e11,396,0.36346412110148024,0.5976588684727606,0.6972737451684157,396,0.07532917463087546,0.44474003812917984,0.42647358285149933,396,0.10425112845659357,0.4164283881545977,0.4306529591108872
ADAM32_e15,313,0.987812987114222,0.7197299099384614,0.8204019713293716,313,0.5999472144984361,0.7860714002253347,0.7968933959815965,313,1.0365704482628284,0.7757270193105608,0.7971360260445178
ADAMTS20_e8,304,0.901127542965841,0.8176785626176537,0.8414328288974868,304,0.6114823179745492,0.7494361112541328,0.7211019831138887,304,1.064748122086281,0.7478887920486352,0.7201815068197304
ADCY8_e11,255,0.30643270203389494,0.4238012909744484,0.3050983184845319,255,0.4638722591631157,0.7622939873092467,0.7485011847234345,255,0.7282832087713791,0.7613381722577642,0.7494063268336094
ADD3_e14,275,0.7114851057613157,0.708623941663927,0.727688966760645,275,0.6479125436887586,0.7070522917759614,0.7466409239572833,275,0.982311610959933,0.6850884764153452,0.744803697649689
ADGRG3_e3,156,0.06055216480364086,0.15872870089212354,0.1687393661704674,156,0.34579904227053915,0.5932736178966316,0.5257574560225063,156,0.6097491751450921,0.5898460906110276,0.5256962318411591
ADGRG6_e6,240,1.7234825715400024,0.8289619218302322,0.8351768259865622,240,1.0803746095796136,0.8790435381346005,0.8988412329659808,240,1.733950044130553,0.8678262478157254,0.8986780355111667
ADGRL3_e7,33,2.6366919034989618,0.8555861831188689,0.788101604278075,33,0.8717464017772516,0.7567831455011326,0.6995320855614974,33,1.6901237363369104,0.7598227152151391,0.6995320855614974
AGBL2_e17,309,0.6240510811426322,0.7392267747359256,0.7324941392160232,309,0.7661865945735807,0.8521098958500848,0.8470894673482972,309,1.4463682729550804,0.8550343216888253,0.847268430312827
AGBL3_e11,327,1.785009144851934,0.902368265001611,0.89367662418102,327,0.7247580842036898,0.8507091609127506,0.8229351679674209,327,1.3221468435351584,0.8535041425933855,0.823032706234238
AGTR1_e2,239,0.5455687356429707,0.6765369459767515,0.7181472170458142,239,0.20087931446346102,0.6844588173949799,0.729103281273536,239,0.2824382206343173,0.6726937696709681,0.7328731089701638
