exon_id,n_variants,n_saturated,saturation_fraction,passes_75_10_90
ABCA4_e10,293,4,0.013651877133105802,True
ABCA4_e9,418,3,0.007177033492822967,True
ABCB11_e12,332,321,0.9668674698795181,False
ABCB11_e4,155,9,0.05806451612903226,True
ABCC2_e21,403,12,0.02977667493796526,True
ABHD12_e5,69,2,0.028985507246376812,True
ABI2_e10,261,37,0.1417624521072797,True
ABLIM1_e20,24,6,0.25,True
ABLIM3_e14,290,30,0.10344827586206896,True
ACACA_e2,331,10,0.030211480362537766,True
ACADM_e3,294,283,0.9625850340136054,False
ACTN2_e8,258,53,0.2054263565891473,True
ADAM32_e10,246,42,0.17073170731707318,True
ADAM32_e11,407,4,0.009828009828009828,True
ADAM32_e15,325,56,0.1723076923076923,True
ADAMTS20_e8,316,22,0.06962025316455696,True
ADCY8_e11,267,253,0.947565543071161,False
ADD3_e14,287,76,0.26480836236933797,True
ADGRG3_e3,198,2,0.010101010101010102,True
ADGRG6_e6,252,48,0.19047619047619047,True
ADGRL3_e7,45,8,0.17777777777777778,True
AGBL2_e17,321,28,0.08722741433021806,True
AGBL3_e11,339,159,0.4690265486725664,True
AGTR1_e2,251,221,0.8804780876494024,False
AKAP3_e2,413,4,0.009685230024213076,True
AKAP3_e3,317,106,0.334384858044164,True
AKR1E2_e9,249,215,0.8634538152610441,False
ALG1_e8,117,16,0.13675213675213677,True
ALOXE3_e13,266,10,0.03759398496240601,True
ALPK3_e2,117,8,0.06837606837606838,True
AMN_e3,135,8,0.05925925925925926,True
ANK2_e36,99,18,0.18181818181818182,True
ANKAR_e16,320,24,0.075,True
ANKDD1A_e2,308,246,0.7987012987012987,False
ANO5_e4,124,24,0.1935483870967742,True
ANXA13_e2,312,127,0.40705128205128205,True
AP4M1_e12,134,3,0.022388059701492536,True
AP4M1_e9,161,12,0.07453416149068323,True
APC_e14,323,16,0.04953560371517028,True
APC_e9,296,294,0.9932432432432432,False
ARHGEF10_e9,285,15,0.05263157894736842,True
ARMCX5_e2,317,62,0.19558359621451105,True
ARMH1_e2,323,33,0.1021671826625387,True
ARPP21_e11,305,303,0.9934426229508196,False
ASCC1_e11,340,150,0.4411764705882353,True
ASL_e9,159,27,0.16981132075471697,True
ASZ1_e5,335,15,0.04477611940298507,True
ATF2_e5,290,44,0.15172413793103448,True
ATM_e23,320,6,0.01875,True
ATM_e27,346,321,0.9277456647398844,False
ATM_e41,267,48,0.1797752808988764,True
ATM_e44,315,30,0.09523809523809523,True
ATM_e56,350,229,0.6542857142857142,True
ATM_e57,444,1,0.0022522522522522522,True
ATM_e60,333,238,0.7147147147147147,True
ATM_e62,408,0,0.0,True
ATP13A3_e33,270,118,0.43703703703703706,True
ATP6AP1_e8,144,0,0.0,True
AUTS2_e13,85,3,0.03529411764705882,True
BAHCC1_e11,275,21,0.07636363636363637,True
BANP_e5,291,12,0.041237113402061855,True
BAP1_e2,90,1,0.011111111111111112,True
BAP1_e3,165,0,0.0,True
BARD1_e8,395,20,0.05063291139240506,True
BBS1_e3,105,7,0.06666666666666667,True
BBS1_e5,141,20,0.14184397163120568,True
BBS5_e4,70,5,0.07142857142857142,True
BBX_e14,270,79,0.29259259259259257,True
BEAN1_e2,318,118,0.3710691823899371,True
BIN1_e13,314,263,0.8375796178343949,False
BIN1_e7,274,207,0.7554744525547445,False
BIRC6_e14,270,3,0.011111111111111112,True
BLM_e10,334,10,0.029940119760479042,True
BLM_e17,443,1,0.002257336343115124,True
BNIP1_e3,260,1,0.0038461538461538464,True
BOLA3_e3,266,256,0.9624060150375939,False
BORA_e3,320,75,0.234375,True
BRAF_e14,141,139,0.9858156028368794,False
BRAF_e9,111,1,0.009009009009009009,True
BRCA1_e10,296,3,0.010135135135135136,True
BRCA1_e16,263,193,0.7338403041825095,True
BRCA1_e17,234,5,0.021367521367521368,True
BRCA1_e18,123,0,0.0,True
BRCA1_e20,87,1,0.011494252873563218,True
BRCA1_e3,97,0,0.0,True
BRCA1_e7,312,237,0.7596153846153846,False
BRCA2_e21,326,202,0.6196319018404908,True
BRCA2_e5,76,8,0.10526315789473684,True
BRCA2_e6,29,2,0.06896551724137931,True
BRCA2_e7,326,179,0.549079754601227,True
BRCA2_e8,129,0,0.0,True
BRCA2_e9,321,181,0.5638629283489096,True
BRIP1_e10,397,1,0.0025188916876574307,True
BRIP1_e6,320,38,0.11875,True
BRSK2_e9,96,14,0.14583333333333334,True
C10orf67_e13,264,10,0.03787878787878788,True
C12orf29_e2,334,22,0.0658682634730539,True
C1orf105_e3,273,267,0.978021978021978,False
C20orf96_e3,273,33,0.12087912087912088,True
C2orf80_e8,304,2,0.006578947368421052,True
CA5A_e3,265,15,0.05660377358490566,True
CABP4_e2,93,49,0.5268817204301075,True
CACNA1C_e8,311,12,0.03858520900321544,True
CACNA1D_e43,81,6,0.07407407407407407,True
CACNA1E_e29,412,0,0.0,True
CACNA1E_e3,420,1,0.002380952380952381,True
CACNA1F_e32,63,63,1.0,False
CADPS_e29,314,306,0.9745222929936306,False
CAPN9_e3,256,53,0.20703125,True
CAPRIN2_e6,249,64,0.2570281124497992,True
CATSPERG_e9,403,60,0.1488833746898263,True
CC2D2B_e29,270,38,0.14074074074074075,True
CC2D2B_e30,317,43,0.13564668769716087,True
CCDC112_e8,288,30,0.10416666666666667,True
CCDC13_e13,283,8,0.028268551236749116,True
CCDC150_e6,308,27,0.08766233766233766,True
CCDC178_e21,448,9,0.020089285714285716,True
CCDC30_e8,413,365,0.8837772397094431,False
CCDC39_e12,411,6,0.014598540145985401,True
CCDC7_e12,269,26,0.09665427509293681,True
CCDC7_e24,299,9,0.030100334448160536,True
CCDC7_e25,289,34,0.11764705882352941,True
CCDC7_e31,252,7,0.027777777777777776,True
CCDC85A_e5,336,12,0.03571428571428571,True
CCDC88A_e26,252,7,0.027777777777777776,True
CD19_e6,147,24,0.16326530612244897,True
CD226_e3,255,25,0.09803921568627451,True
CD36_e13,7,1,0.14285714285714285,True
CD46_e7,131,105,0.8015267175572519,False
CD47_e10,99,48,0.48484848484848486,True
CDH1_e14,388,2,0.005154639175257732,True
CDH23_e12,18,18,1.0,False
CDH23_e65,123,5,0.04065040650406504,True
CDHR1_e6,258,17,0.06589147286821706,True
CDKL3_e7,267,86,0.32209737827715357,True
CEP290_e5,15,1,0.06666666666666667,True
CEP95_e5,316,37,0.11708860759493671,True
CFTR_e9,279,128,0.45878136200716846,True
CHRND_e3,131,43,0.3282442748091603,True
CLASP1_e21,81,4,0.04938271604938271,True
CLCN1_e16,401,6,0.014962593516209476,True
CLCN1_e20,115,4,0.034782608695652174,True
CLHC1_e7,334,13,0.038922155688622756,True
CNGA1_e10,320,193,0.603125,True
CNGA1_e9,315,38,0.12063492063492064,True
CNKSR2_e12,270,50,0.18518518518518517,True
CNTNAP2_e4,440,0,0.0,True
COL11A1_e44,153,0,0.0,True
COL11A1_e61,107,3,0.028037383177570093,True
COL11A2_e26,135,0,0.0,True
COL11A2_e62,162,11,0.06790123456790123,True
COL12A1_e22,419,1,0.002386634844868735,True
COL12A1_e52,447,1,0.0022371364653243847,True
COL18A1_e18,74,33,0.44594594594594594,True
COL18A1_e19,108,17,0.1574074074074074,True
COL18A1_e24,81,11,0.13580246913580246,True
COL18A1_e27,61,29,0.47540983606557374,True
COL1A1_e11,162,0,0.0,True
COL1A1_e15,135,3,0.022222222222222223,True
COL1A1_e8,161,7,0.043478260869565216,True
COL1A2_e16,161,4,0.024844720496894408,True
COL1A2_e33,157,1,0.006369426751592357,True
COL1A2_e38,162,0,0.0,True
COL27A1_e26,162,3,0.018518518518518517,True
COL27A1_e29,162,12,0.07407407407407407,True
COL2A1_e17,135,0,0.0,True
COL2A1_e31,162,0,0.0,True
COL2A1_e45,161,0,0.0,True
COL3A1_e13,162,1,0.006172839506172839,True
COL3A1_e47,324,300,0.9259259259259259,False
COL3A1_e6,161,0,0.0,True
COL3A1_e8,31,0,0.0,True
COL4A1_e17,160,6,0.0375,True
COL4A1_e41,153,3,0.0196078431372549,True
COL4A3_e18,116,3,0.02586206896551724,True
COL4A3_e4,130,0,0.0,True
COL4A3_e8,81,43,0.5308641975308642,True
COL4A4_e12,73,3,0.0410958904109589,True
COL4A4_e17,113,5,0.04424778761061947,True
COL4A5_e12,83,48,0.5783132530120482,True
COL4A5_e17,154,0,0.0,True
COL5A1_e23,162,2,0.012345679012345678,True
COL5A2_e29,154,4,0.025974025974025976,True
COL6A1_e10,135,0,0.0,True
COL6A1_e14,162,51,0.3148148148148148,True
COL6A1_e9,161,0,0.0,True
COL6A2_e11,162,0,0.0,True
COL6A2_e6,162,0,0.0,True
COL6A2_e7,135,0,0.0,True
COL6A2_e8,68,9,0.1323529411764706,True
COL6A3_e18,81,4,0.04938271604938271,True
COL7A1_e65,135,3,0.022222222222222223,True
COL7A1_e70,108,11,0.10185185185185185,True
COL7A1_e75,108,10,0.09259259259259259,True
COL9A2_e3,108,10,0.09259259259259259,True
