construct_label,construct_type,library_exon,variant_subset,alphagenome_metric,alphagenome_column,n,slope,intercept,pearson_r,pearson_p,spearman_rho,spearman_p
TP53_e7,wt,TP53_e7,experimental exonic subs — TP53_e7 library (region==Exon & mut_type==sub),mean_logit,alphagenome_mean_logit,318,0.004722485856172175,0.23423599071410584,0.05605671498724277,0.31901617039100344,0.04275395720822215,0.4473996116329644
TP53_e7,wt,TP53_e7,experimental exonic subs — TP53_e7 library (region==Exon & mut_type==sub),prod_logit,alphagenome_prod_logit,318,0.008209794571151516,-0.8222687163631395,0.07451223974363347,0.1850537189701986,0.060064156196816695,0.2855909774873725
TP53_e6,wt,TP53_e6,experimental exonic subs — TP53_e6 library (region==Exon & mut_type==sub),mean_logit,alphagenome_mean_logit,326,0.7164645919389565,-5.037167670189579,0.7186228620908001,4.705809065165563e-53,0.6857427716676814,1.2855511390235048e-46
TP53_e6,wt,TP53_e6,experimental exonic subs — TP53_e6 library (region==Exon & mut_type==sub),prod_logit,alphagenome_prod_logit,326,1.373519674672401,-10.028092332993516,0.7195113563717739,3.061652868456949e-53,0.6858833953945235,1.21165908393808e-46
"TP53_e7<-TP53_e6:3ss(i7,e3)",3ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),mean_logit,alphagenome_mean_logit,315,0.008695127971846415,0.2312245274705126,0.11631167262885043,0.03910047464980534,0.110165272285486,0.050770312435478394
"TP53_e7<-TP53_e6:3ss(i7,e3)",3ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),prod_logit,alphagenome_prod_logit,315,0.01258336912867221,-0.8166363878292618,0.12840689580705783,0.022644484983160733,0.12396228017368825,0.02781702906054246
"TP53_e7<-TP53_e6:5ss(e3,i7)",5ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),mean_logit,alphagenome_mean_logit,318,0.030796307979246592,-0.4456026541662344,0.28737321775814006,1.8398953356832917e-07,0.22436814905910615,5.4165152892406086e-05
"TP53_e7<-TP53_e6:5ss(e3,i7)",5ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),prod_logit,alphagenome_prod_logit,318,0.04940803207456625,-1.8304401878469623,0.32390037549253425,3.351254342888302e-09,0.24020454004705455,1.4900462335267763e-05
"TP53_e7<-TP53_e6:3ss+5ss(i7,e3|e3,i7)",3ss_5ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),mean_logit,alphagenome_mean_logit,315,0.045405873497187325,-0.5754335587528538,0.3968329748357201,2.5218465072494873e-13,0.3309526882797591,1.7335276930712322e-09
"TP53_e7<-TP53_e6:3ss+5ss(i7,e3|e3,i7)",3ss_5ss_swap,TP53_e7,experimental exonic subs — recipient TP53_e7 library (region==Exon & mut_type==sub),prod_logit,alphagenome_prod_logit,315,0.06795422841104069,-1.9852273864378949,0.4163513924436421,1.2273909909684764e-14,0.3379304878691892,7.467029040979189e-10
TP53_e7<-TP53_e6:internal,full_internal_swap,TP53_e6,"experimental exonic subs — donor TP53_e6 library, internal region (region==Exon & mut_type==sub)",mean_logit,alphagenome_mean_logit,320,0.30391113998273894,-0.8813180490012564,0.6447748669777218,5.371595617609748e-39,0.6249919890143844,4.468993708989454e-36
TP53_e7<-TP53_e6:internal,full_internal_swap,TP53_e6,"experimental exonic subs — donor TP53_e6 library, internal region (region==Exon & mut_type==sub)",prod_logit,alphagenome_prod_logit,320,0.45351005201091377,-2.427076314318862,0.6326690748551331,3.4845598710363994e-37,0.6270753524856062,2.2519955288460345e-36
