window(up/down),swap,construct_label,n,mean_logit_slope,prod_logit_slope,pearson_r_mean,spearman_rho_mean,pearson_r_prod,spearman_rho_prod,ref_pnas_pretuner,ref_ag_mean_logit,ref_ag_prod_logit
7/7,3ss,"TP53_e7<-TP53_e6:3ss(i7,e3)",315,0.008695131216252774,0.012583372798320705,0.11631172309264277,0.110165272285486,0.12840694105310238,0.12396228017368825,7.458011150360107,0.2849244821077258,-0.7366804284355765
7/7,5ss,"TP53_e7<-TP53_e6:5ss(e3,i7)",318,0.030796297040713204,0.049408016558216285,0.28737310636281893,0.22436814905910615,0.323900263264859,0.24020454004705455,7.159748077392578,-0.1860853502564636,-1.418282145332569
7/7,3ss+5ss,"TP53_e7<-TP53_e6:3ss+5ss(i7,e3|e3,i7)",315,0.04540587145805936,0.06795422350289852,0.39683296967575526,0.3309526882797591,0.41635137565587943,0.3379304878691892,7.703750133514404,-0.1713105196137956,-1.3816469107527554
20/20,3ss,"TP53_e7<-TP53_e6:3ss(i20,e3)",315,0.02194105628113515,0.029638714615048977,0.2560158259321367,0.26603176252781763,0.25513912326557187,0.2595464137773091,7.458011150360107,0.0785541261127157,-1.0013465405574633
20/20,5ss,"TP53_e7<-TP53_e6:5ss(e3,i20)",318,0.021322977041104033,0.03539976240297099,0.2068199497587308,0.1052745500564579,0.2442346387569545,0.12046400590268735,7.159748077392578,0.371985748889044,-0.6525851047237372
20/20,3ss+5ss,"TP53_e7<-TP53_e6:3ss+5ss(i20,e3|e3,i20)",315,0.06639836054457796,0.09290782042992136,0.4624366138456105,0.3913483799505941,0.4662738835581105,0.3905190327403026,7.703750133514404,0.150156307042669,-0.9143902604551556
30/25,3ss,"TP53_e7<-TP53_e6:3ss(i30,e3)",315,0.03665541640591006,0.05005948018943984,0.3453963546859208,0.36854249439481185,0.3374061797998923,0.3690903987863505,7.458011150360107,-0.0312544519009656,-1.1404743720296515
30/25,5ss,"TP53_e7<-TP53_e6:5ss(e3,i25)",318,0.025376283789438278,0.03952846913505301,0.23482355917639142,0.1445395070648603,0.26686948067247823,0.15859796112624502,7.159748077392578,0.4130809554059139,-0.6001512888547826
30/25,3ss+5ss,"TP53_e7<-TP53_e6:3ss+5ss(i30,e3|e3,i25)",315,0.10296724942808919,0.14409519611234575,0.5411013377698104,0.5027628965667048,0.5395606756575453,0.500866254716897,7.703750133514404,0.0078183855412417,-1.0891943413262128
50/25,3ss,"TP53_e7<-TP53_e6:3ss(i50,e3)",315,0.03217226038155197,0.04195422360872933,0.35926288327145994,0.37486750286452586,0.354699441143257,0.36792998077673994,7.458011150360107,0.1894724022802408,-0.8605427976409175
50/25,5ss,"TP53_e7<-TP53_e6:5ss(e3,i25)",318,0.025376283789438278,0.03952846913505301,0.23482355917639142,0.1445395070648603,0.26686948067247823,0.15859796112624502,7.159748077392578,0.4130809554059139,-0.6001512888547826
50/25,3ss+5ss,"TP53_e7<-TP53_e6:3ss+5ss(i50,e3|e3,i25)",315,0.07991059344876517,0.10809044406266656,0.5122757374026328,0.4521074232057247,0.5143203858813288,0.4512478138020191,7.703750133514404,0.2857231547870248,-0.739748775746754
70/25,3ss,"TP53_e7<-TP53_e6:3ss(i70,e3)",315,0.025634950299179587,0.033682793369114394,0.3341851935481439,0.3515596607459881,0.33042464842348385,0.3470785182707906,7.458011150360107,0.2540047705562843,-0.7822855139211266
70/25,5ss,"TP53_e7<-TP53_e6:5ss(e3,i25)",318,0.025376283789438278,0.03952846913505301,0.23482355917639142,0.1445395070648603,0.26686948067247823,0.15859796112624502,7.159748077392578,0.4130809554059139,-0.6001512888547826
70/25,3ss+5ss,"TP53_e7<-TP53_e6:3ss+5ss(i70,e3|e3,i25)",315,0.04942625644635998,0.06879319731042287,0.41353341226610796,0.33274592803001796,0.41483330357326553,0.3349248221496806,7.703750133514404,0.2955925694306153,-0.7362622747616857
